loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
489,EPIC 203771098,EPIC 203771098.03,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,,,,,2456915.624270,0.000350,-0.000330,0,,,,,0.05510,0.00160,-0.00270,0,7.510,0.620,-0.610,0,1.25,0.10,-0.08,0,11.648,,0,9.180,0.021,0
490,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,20.88501600,0.00041200,-0.00043800,0,2456905.795940,0.000872,-0.000799,0,26.545186,3.626412,-4.201622,0,0.04511,0.00227,-0.00162,0,5.256,0.546,-0.309,0,1.07,0.10,-0.05,0,11.648,,0,9.180,0.021,0
491,EPIC 203771098,EPIC 203771098.01,K2-24 c,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,42.36349300,,,0,2456915.625000,,,0,,,,,0.06260,,,0,5.590,,,0,0.77,,,0,11.648,,0,9.180,0.021,0
492,EPIC 203771098,EPIC 203771098.01,K2-24 c,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,42.36398200,0.00075800,-0.00079500,0,2456915.624840,0.000568,-0.000548,0,49.781610,3.270919,-4.537230,0,0.06109,0.00174,-0.00107,0,7.118,0.678,-0.354,0,1.07,0.10,-0.05,0,11.648,,0,9.180,0.021,0
493,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,20.88526000,0.00042000,-0.00042000,0,2456905.794380,0.000850,-0.000850,0,,,,,0.04264,0.00081,-0.00081,0,7.070,0.860,-0.860,0,1.51,0.18,-0.18,0,11.648,,0,9.180,0.021,0
494,EPIC 203771098,EPIC 203771098.02,K2-24 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,20.88507500,,,0,2456905.796000,,,0,,,,,0.04548,,,0,4.050,,,0,0.77,,,0,11.648,,0,9.180,0.021,0
495,EPIC 203771098,EPIC 203771098.01,K2-24 c,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,42.36301000,0.00072000,-0.00072000,0,2456915.625160,0.000500,-0.000500,0,,,,,0.05913,0.00053,-0.00053,0,9.800,1.200,-1.200,0,1.51,0.18,-0.18,0,11.648,,0,9.180,0.021,0
496,EPIC 203776696,EPIC 203776696.01,K2-52 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,3.53482000,0.00019000,-0.00019000,0,2456896.028000,0.023000,-0.023000,0,,,,,0.06810,0.00120,-0.00120,0,11.100,3.900,-3.900,0,1.49,0.52,-0.52,0,15.037,,0,11.853,0.019,0
497,EPIC 203776696,EPIC 203776696.01,K2-52 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,3.53539750,,,0,2456896.023000,,,0,,,,,0.07463,,,0,1.980,,,0,0.23,,,0,15.037,,0,11.853,0.019,0
498,EPIC 203776696,EPIC 203776696.01,K2-52 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,3.53515500,0.00007500,-0.00007400,0,2456896.025000,0.000850,-0.000870,0,5.280000,0.270000,-0.120000,0,0.07320,0.00110,-0.00210,0,16.600,3.800,-1.900,0,2.07,0.47,-0.23,0,15.037,,0,11.853,0.019,0
499,EPIC 203784668,EPIC 203784668.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,,,,,2456949.203000,0.001800,-0.001800,0,,,,,0.23100,0.05600,-0.05800,0,,,,,,,,,8.312,,0,,,
500,EPIC 203823381,EPIC 203823381.01,,FALSE POSITIVE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,0,8.27580000,0.00170000,-0.00170000,0,2456901.892500,0.008900,-0.008900,0,,,,,0.05400,0.01700,-0.01700,0,10.200,9.400,-9.400,0,1.60,1.30,-1.30,0,13.468,,0,10.657,0.021,0
501,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,8.27663950,,,0,2456901.895000,,,0,,,,,0.06088,,,0,0.724,,,0,0.11,,,0,13.468,,0,10.657,0.021,0
502,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,2,1,8.27810000,,,0,2456893.602260,,,0,,,,,,,,,,,,,,,,,13.468,,0,10.657,0.021,0
503,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,14.09099600,0.00099300,-0.00107800,0,2456907.235970,0.002617,-0.002381,0,34.341689,5.006469,-11.348861,0,0.02702,0.00357,-0.00151,0,2.412,0.333,-0.154,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
504,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,2,0,6.43032491,,,0,2456898.852285,,,0,,,,,,,,,,,,,,,,,12.241,,0,10.142,0.021,0
505,EPIC 203826436,EPIC 203826436.02,K2-37 d,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,14.09292000,0.00050000,-0.00052000,0,2456907.232200,0.001200,-0.001200,0,30.200000,13.600000,-9.400000,0,0.02980,0.00280,-0.00440,0,2.580,0.280,-0.390,0,0.79,0.04,-0.03,0,12.241,,0,10.142,0.021,0
506,EPIC 203826436,EPIC 203826436.03,K2-37 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,4.44360000,0.00030000,-0.00028000,0,2456898.116700,0.002500,-0.002600,0,10.200000,4.900000,-2.000000,0,0.01820,0.00150,-0.00410,0,1.570,0.150,-0.360,0,0.79,0.04,-0.03,0,12.241,,0,10.142,0.021,0
507,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,14.09190000,0.00150000,-0.00150000,0,2456907.231400,0.003500,-0.003500,0,,,,,0.02710,0.00210,-0.00210,0,2.590,0.250,-0.250,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
508,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,6.42973000,0.00043000,-0.00043000,0,2456898.854700,0.002900,-0.002900,0,,,,,0.02760,0.00180,-0.00180,0,2.650,0.230,-0.230,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
509,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,4.44118000,0.00074000,-0.00074000,0,2456893.700300,0.006500,-0.006500,0,,,,,0.01740,0.00150,-0.00150,0,1.660,0.170,-0.170,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
510,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,4.44377400,0.00045400,-0.00050100,0,2456898.112860,0.004630,-0.004205,0,10.785318,1.436128,-3.094203,0,0.01709,0.00188,-0.00103,0,1.526,0.178,-0.103,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
511,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,6.42959000,0.00014000,-0.00014000,0,2456898.854480,0.000920,-0.000960,0,15.100000,4.200000,-2.300000,0,0.03060,0.00180,-0.00370,0,2.640,0.210,-0.340,0,0.79,0.04,-0.03,0,12.241,,0,10.142,0.021,0
512,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,6.42958200,0.00029000,-0.00030700,0,2456898.855890,0.002070,-0.002013,0,15.269686,2.071881,-4.897805,0,0.02910,0.00353,-0.00144,0,2.598,0.331,-0.152,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
513,EPIC 203826436,EPIC 203826436.03,K2-37 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,4.44366490,,,0,2456898.114000,,,0,,,,,0.01694,,,0,1.500,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
514,EPIC 203826436,EPIC 203826436.02,K2-37 d,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,14.09090700,,,0,2456907.236000,,,0,,,,,0.02619,,,0,2.330,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
515,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,6.42950230,,,0,2456898.856000,,,0,,,,,0.02925,,,0,2.500,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
516,EPIC 203849738,EPIC 203849738.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,0.61990000,,,0,2456894.600000,,,0,,,,,,,,,,,,,,,,,14.390,,0,10.926,0.019,0
517,EPIC 203867512,EPIC 203867512.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,28.46563300,,,0,2456918.548000,,,0,,,,,0.16420,,,0,18.400,,,0,0.96,,,0,11.858,,0,10.465,0.021,0
518,EPIC 203867512,EPIC 203867512.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,28.46762000,0.00089000,-0.00028000,0,2456918.546380,0.000250,-0.000880,0,29.860000,0.600000,-0.960000,0,0.17040,0.00360,-0.00220,0,37.000,11.000,-17.000,0,1.97,0.61,-0.90,0,11.858,,0,10.465,0.021,0
519,EPIC 203868608,EPIC 203868608.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,4.54170000,,,0,2456893.768270,,,0,,,,,,,,,,,,,,,,,13.324,,0,10.760,0.021,0
520,EPIC 203914123,EPIC 203914123.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.2273O/abstract target=ref>Osborn et al. 2016</a>,CANDIDATE,,2,1,83830.00000000,31600.00000000,-22320.00000000,0,2456946.278000,0.002000,-0.002000,0,,,,,0.14900,0.00100,-0.00100,0,12.000,1.100,-1.100,0,0.74,0.07,-0.07,0,9.039,,0,6.321,0.017,0
521,EPIC 203925865,EPIC 203925865.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,8.79689000,0.00058000,-0.00059000,0,2456898.283800,0.002800,-0.002800,0,8.700000,2.600000,-1.100000,0,0.02170,0.00110,-0.00300,0,4.850,0.520,-0.680,0,2.05,0.19,-0.06,0,11.865,,0,9.842,0.019,0
522,EPIC 203929178,EPIC 203929178.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,1.15388600,0.00002800,-0.00002800,0,2456893.581200,0.001100,-0.001100,0,,,,,0.53000,0.23000,-0.23000,0,99.000,52.000,-52.000,0,1.80,0.52,-0.52,0,11.160,,0,10.519,0.020,0
523,EPIC 203942067,EPIC 203942067.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,1.63989340,,,0,2456895.547000,,,0,,,,,0.43920,,,0,33.000,,,0,0.79,,,0,12.080,,0,10.342,0.025,0
524,EPIC 204043888,EPIC 204043888.01,,FALSE POSITIVE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,1,1.48624300,0.00002300,-0.00002300,0,2456894.196700,0.007000,-0.007000,0,,,,,0.28000,0.06300,-0.06300,0,58.000,14.000,-14.000,0,1.87,0.22,-0.22,0,15.218,,0,11.692,0.025,0
525,EPIC 204057095,EPIC 204057095.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,23.21037000,0.00018000,-0.00017000,0,2456913.627340,0.000220,-0.000230,0,37.600000,3.100000,-4.400000,0,0.11600,0.02300,-0.05900,0,15.300,3.000,-7.800,0,1.21,0.02,-0.12,0,11.583,,0,9.847,0.024,0
526,EPIC 204057095,EPIC 204057095.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,23.21058500,,,0,2456913.627000,,,0,,,,,0.06981,,,0,5.700,,,0,0.81,,,0,11.583,,0,9.847,0.024,0
527,EPIC 204124270,EPIC 204124270.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,1.33002300,0.00001800,-0.00001800,0,2456895.585490,0.000630,-0.000620,0,3.370000,0.140000,-0.150000,0,0.16700,0.04200,-0.04300,0,44.000,17.000,-19.000,0,2.40,0.72,-0.82,0,10.688,,0,9.032,0.023,0
528,EPIC 204128016,EPIC 204128016.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,50.73641000,0.00088000,-0.00087000,0,2456895.165940,0.000620,-0.000620,0,45.900000,2.200000,-2.900000,0,0.07010,0.00270,-0.00480,0,10.310,0.420,-0.770,0,1.35,0.02,-0.04,0,12.006,,0,10.398,0.019,0
529,EPIC 204129699,EPIC 204129699.01,K2-31 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,1.25785420,0.00000270,-0.00000270,0,2456893.598770,0.000100,-0.000100,0,,,,,0.35000,0.13000,-0.13000,0,34.000,13.000,-13.000,0,0.90,0.03,-0.03,0,10.607,,0,8.866,0.019,0
530,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,2,1,1.25783320,,,0,2456896.115851,,,0,,,,,,,,,,,,,,,,,10.607,,0,8.866,0.019,0
531,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,1.25784930,,,0,2456894.857000,,,0,,,,,0.09261,,,0,7.000,,,0,0.81,,,0,10.607,,0,8.866,0.019,0
532,EPIC 204143627,EPIC 204143627.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,1.12400000,,,0,2456893.726810,,,0,,,,,,,,,,,,,,,,,14.757,,0,11.312,0.019,0
533,EPIC 204165788,EPIC 204165788.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,0.74740000,,,0,2456893.140590,,,0,,,,,,,,,,,,,,,,,7.281,,0,5.775,0.021,0
534,EPIC 204197636,EPIC 204197636.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,46.13730000,0.00660000,-0.00760000,0,2456921.970300,0.004000,-0.003600,0,47.600000,11.300000,-4.900000,0,0.03300,0.00120,-0.00240,0,2.600,0.160,-0.320,0,0.72,0.04,-0.07,0,13.468,,0,11.198,0.026,0
535,EPIC 204221263,EPIC 204221263.02,K2-38 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,4.01628000,0.00044000,-0.00044000,0,2456896.875300,0.004900,-0.004900,0,,,,,0.01329,0.00099,-0.00099,0,1.640,0.190,-0.190,0,1.12,0.10,-0.10,0,11.210,,0,9.470,0.021,0
536,EPIC 204221263,EPIC 204221263.01,K2-38 c,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,10.56098000,0.00081000,-0.00081000,0,2456900.474600,0.002800,-0.002800,0,,,,,0.01950,0.00140,-0.00140,0,2.410,0.270,-0.270,0,1.12,0.10,-0.10,0,11.210,,0,9.470,0.021,0
537,EPIC 204221263,EPIC 204221263.02,K2-38 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,4.01663000,0.00023000,-0.00023000,0,2456896.869300,0.002400,-0.002400,0,8.700000,3.400000,-1.100000,0,0.01450,0.00130,-0.00450,0,1.960,0.190,-0.620,0,1.24,0.04,-0.06,0,11.210,,0,9.470,0.021,0
538,EPIC 204221263,EPIC 204221263.01,K2-38 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,10.56131000,0.00053000,-0.00053000,0,2456900.475600,0.002100,-0.002100,0,26.400000,11.700000,-4.700000,0,0.02090,0.00180,-0.00550,0,2.830,0.260,-0.760,0,1.24,0.04,-0.06,0,11.210,,0,9.470,0.021,0
539,EPIC 204276894,EPIC 204276894.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,2,1,1.95700000,,,0,2456893.373130,,,0,,,,,,,,,,,,,,,,,11.466,,0,5.743,0.022,0
540,EPIC 204308061,EPIC 204308061.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,22.63980000,0.00120000,-0.00120000,0,2456900.442800,0.002200,-0.002200,0,40.800000,12.700000,-5.600000,0,0.01350,0.00077,-0.00184,0,1.270,0.100,-0.220,0,0.86,0.05,-0.09,0,10.041,,0,8.590,0.019,0
541,EPIC 204312847,EPIC 204312847.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,24.19361300,,,0,2456906.330000,,,0,,,,,0.37780,,,0,30.700,,,0,0.87,,,0,11.370,,0,9.658,0.025,0
542,EPIC 204322265,EPIC 204322265.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,2.78449600,0.00005300,-0.00006000,0,2456894.836270,0.000900,-0.000880,0,41.000000,18.000000,-12.000000,0,0.07500,0.00820,-0.04820,0,2.090,0.490,-1.420,0,0.26,0.05,-0.06,0,14.731,,0,11.584,0.021,0
543,EPIC 204346718,EPIC 204346718.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,0.64292573,,,0,2456896.425445,,,0,,,,,,,,,,,,,,,,,14.626,,0,12.225,0.021,0
544,EPIC 204364515,EPIC 204364515.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,1.45620000,,,0,2456894.298090,,,0,,,,,,,,,,,,,,,,,15.778,,0,10.052,0.027,0
545,EPIC 204432860,EPIC 204432860.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,2.87420000,,,0,2456893.408700,,,0,,,,,,,,,,,,,,,,,12.704,,0,8.842,0.022,0
546,EPIC 204489514,EPIC 204489514.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,10.22360000,0.00240000,-0.00240000,0,2456893.641500,0.009300,-0.009300,0,,,,,0.61000,0.20000,-0.20000,0,132.000,58.000,-58.000,0,2.04,0.61,-0.61,0,14.080,,0,11.729,0.025,0
547,EPIC 204506777,EPIC 204506777.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,1.62810000,,,0,2456893.450740,,,0,,,,,,,,,,,,,,,,,8.752,,0,7.047,0.031,0
548,EPIC 204529573,EPIC 204529573.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,2.75180000,0.00015000,-0.00015000,0,2456896.391500,0.002500,-0.002400,0,14.500000,4.900000,-2.800000,0,0.00948,0.00087,-0.00160,0,0.669,0.083,-0.124,0,0.65,0.05,-0.05,0,10.595,,0,8.337,0.024,0
549,EPIC 204546592,EPIC 204546592.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,,,,,2456899.963700,0.001300,-0.001300,0,,,,,0.15000,0.02200,-0.06200,0,133.000,21.000,-55.000,0,8.12,0.46,-0.32,0,9.934,,0,7.520,0.020,0
550,EPIC 204576757,EPIC 204576757.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,23.27766900,,,0,2456898.089000,,,0,,,,,0.45690,,,0,32.800,,,0,0.68,,,0,13.668,,0,11.193,0.023,0
